General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2022.0,5000.0,Unknown,60,6.5,6.0,128.0,Yes,Unknown,50,2,0,0,0,2,5,0,1,5G,5G,11499.0
2023.0,5000.0,No,120,6.7,12.0,256.0,Yes,Yes,50,8,2,0,0,3,16,0,1,5G,5G,17748.0
2023.0,4600.0,Unknown,60,6.7,8.0,256.0,No,Yes,64,32,8,0,0,3,32,0,1,Unknown,Unknown,32999.0
2023.0,4800.0,Unknown,60,6.7,8.0,128.0,Yes,Yes,108,2,2,0,0,3,32,0,1,5G,5G,38999.0
2023.0,5000.0,Unknown,90,6.72,8.0,128.0,Unknown,Unknown,50,2,0,0,0,2,8,0,1,Unknown,Unknown,13550.0
2021.0,3020.0,Yes,60,5.0,2.0,32.0,Yes,Unknown,5,0,0,0,0,2,1,0,1,Unknown,Unknown,6999.0
2023.0,6000.0,No,120,6.46,8.0,128.0,Yes,Yes,50,8,2,0,0,3,13,0,1,Unknown,Unknown,24499.0
2024.0,5500.0,Unknown,120,6.78,8.0,256.0,Unknown,Unknown,50,8,0,0,0,2,50,0,1,Unknown,Unknown,26990.0
2018.0,3300.0,No,60,6.0,4.0,64.0,Yes,No,24,8,5,0,0,3,24,0,1,Unknown,4G,13999.0
2018.0,3500.0,No,60,6.2,6.0,64.0,Yes,Yes,12,0,0,0,0,1,8,0,1,4G,4G,26290.0
2024.0,4200.0,No,120,6.9,8.0,256.0,No,Yes,50,13,0,0,0,2,32,0,1,5G,5G,64998.0
2023.0,5000.0,No,120,6.5,12.0,256.0,Unknown,Unknown,50,8,0,0,0,2,16,0,1,Unknown,Unknown,16999.0
2023.0,5000.0,No,120,6.4,8.0,256.0,Yes,Yes,50,12,5,0,0,3,32,0,1,Unknown,Unknown,23989.0
2024.0,5000.0,Unknown,60,6.7,8.0,256.0,Yes,Unknown,64,2,2,0,0,3,32,0,1,5G,5G,23999.0
2024.0,5000.0,Unknown,120,6.67,8.0,128.0,Yes,Unknown,50,2,0,0,0,2,16,0,1,Unknown,Unknown,19999.0
2024.0,4700.0,Unknown,120,6.7,8.0,128.0,Unknown,Unknown,50,12,8,0,0,3,10,0,1,Unknown,Unknown,54983.0
2021.0,5000.0,Unknown,60,6.43,6.0,128.0,Yes,Unknown,48,2,2,0,0,3,16,0,1,4G,4G,14990.0
2023.0,5000.0,Unknown,60,6.72,8.0,128.0,Yes,Unknown,64,2,0,0,0,2,8,0,1,Unknown,Unknown,11199.0
2023.0,5000.0,No,60,6.78,8.0,256.0,Yes,Yes,108,2,0,0,0,3,16,0,1,5G,5G,15999.0
2024.0,5000.0,No,60,6.67,8.0,128.0,Unknown,Unknown,32,0,0,0,0,1,8,0,1,Unknown,Unknown,10665.0
2024.0,5000.0,Unknown,120,6.67,12.0,256.0,Unknown,Unknown,50,2,0,0,0,2,16,0,1,5G,5G,16998.0
2024.0,5000.0,No,120,6.67,8.0,256.0,Yes,Unknown,108,0,0,0,0,1,8,0,1,Unknown,Unknown,13999.0
2022.0,5000.0,Unknown,120,6.59,8.0,128.0,Yes,Unknown,64,2,2,0,0,3,16,0,1,5G,Unknown,17490.0
2021.0,4500.0,Unknown,120,6.4,8.0,256.0,Unknown,Yes,12,12,8,0,0,3,32,0,1,5G,5G,27840.0
2019.0,4045.0,No,60,6.3,4.0,64.0,Yes,Unknown,16,5,0,0,0,2,25,0,1,4G,4G,10299.0
2019.0,5000.0,Unknown,60,6.5,3.0,32.0,Yes,Unknown,12,8,2,2,0,4,13,0,1,4G,4G,8706.0
2019.0,5000.0,Unknown,60,6.5,4.0,128.0,Yes,Unknown,12,8,2,2,0,4,13,0,1,4G,4G,8706.0
2019.0,4045.0,No,60,6.3,6.0,128.0,Yes,Unknown,16,5,0,0,0,2,25,0,1,4G,4G,11999.0
2019.0,3100.0,No,60,5.8,6.0,128.0,Yes,Yes,12,16,0,0,0,2,10,0,1,4G,4G,44990.0
2022.0,5000.0,No,120,6.1,6.0,1024.0,No,Unknown,48,12,12,0,0,3,12,0,1,5G,5G,130999.0
2021.0,6000.0,Yes,60,6.78,18.0,512.0,Unknown,Yes,64,13,0,0,0,2,24,0,1,Unknown,Unknown,40990.0
2023.0,5000.0,Unknown,120,6.72,8.0,256.0,Yes,Unknown,108,2,2,0,0,3,16,0,1,5G,Unknown,15946.0
2022.0,4400.0,Unknown,60,7.6,12.0,1024.0,Unknown,Yes,50,12,10,0,0,3,10,4,2,5G,5G,79459.0
2024.0,5000.0,Unknown,120,6.5,8.0,128.0,Yes,Yes,50,2,0,0,0,2,16,0,1,Unknown,Unknown,13882.0
2024.0,5000.0,No,120,6.78,12.0,512.0,Unknown,Yes,50,50,50,0,0,3,50,0,1,Unknown,Unknown,39990.0
2023.0,4600.0,No,120,6.78,8.0,256.0,Unknown,Yes,64,2,0,0,0,2,16,0,1,5G,5G,26979.0
2024.0,6000.0,No,120,6.72,8.0,128.0,Yes,Unknown,50,2,0,0,0,2,8,0,1,Unknown,Unknown,18499.0
2017.0,2716.0,No,60,5.8,3.0,256.0,No,Yes,12,12,0,0,0,2,7,0,1,Unknown,Unknown,69998.0
2023.0,6000.0,Unknown,60,6.6,6.0,128.0,Yes,Unknown,50,2,2,0,0,3,13,0,1,Unknown,Unknown,13899.0
2023.0,5000.0,No,120,6.7,16.0,256.0,Unknown,Yes,50,48,32,0,0,3,16,0,1,5G,5G,42190.0
